id;name;description;rating;profile_picture
1;underneath responsible;worth;15809.53;baggage
2;wordy zigzag;miaow;15516.87;peter
3;agitated shrill;absolute whoever because;2831.16;gosh faithfully
4;gee colorfully sentimental;as;12353.22;startle doubtfully
5;deputize;reliable yin max;5681.31;ah scuffle rationalise
6;who bashfully yuck;more with;13597.95;ship ew
7;tepid inasmuch;lurk despite;6159.44;well towards experimentation
8;single meanwhile;colon;29435.53;burly
9;ordinary;bashfully protest harmful;19859.75;thirsty toward tenderize
10;jittery truly;twin;18459.76;wonderfully
